=== Pass1 -> L1.dat ===
Total transactions: 100000
Pass1 time: 0.043 sec
=== Pass2 -> L2.dat ===
Found 8831 frequent pairs
Pass2 time: 0.952 sec
=== Pass3 -> L3.dat ===
Found 7130 frequent triples
Pass3 time: 0.675 sec

=== Association Rules (confidence >= 0.60) ===
{15} => {161}, support=0.0019, confidence=0.9442
{453} => {6}, support=0.0017, confidence=0.8488
{25} => {39}, support=0.0014, confidence=0.7330
{12} => {471}, support=0.0045, confidence=0.8610
{17} => {359}, support=0.0011, confidence=0.7400
{12} => {535}, support=0.0046, confidence=0.8743
{48} => {28}, support=0.0017, confidence=0.9771
{372} => {19}, support=0.0036, confidence=0.8815
{563} => {13}, support=0.0031, confidence=0.6797
{17} => {451}, support=0.0011, confidence=0.7467
{24} => {281}, support=0.0012, confidence=0.9453
{819} => {7}, support=0.0027, confidence=0.8359
{15} => {654}, support=0.0018, confidence=0.9289
{24} => {396}, support=0.0012, confidence=0.9297
{25} => {388}, support=0.0014, confidence=0.7225
{12} => {794}, support=0.0046, confidence=0.8800
{467} => {27}, support=0.0014, confidence=0.6415
{15} => {888}, support=0.0018, confidence=0.9289
{180} => {38}, support=0.0023, confidence=0.9536
{12} => {996}, support=0.0045, confidence=0.8590
{20} => {811}, support=0.0011, confidence=0.9256
{752} => {22}, support=0.0036, confidence=0.8992
{17} => {945}, support=0.0013, confidence=0.8400
{20} => {886}, support=0.0011, confidence=0.9256
{648} => {28}, support=0.0037, confidence=0.6733
{628} => {29}, support=0.0028, confidence=0.9726
{30} => {598}, support=0.0014, confidence=0.8070
{731} => {26}, support=0.0048, confidence=0.7973
{516} => {34}, support=0.0082, confidence=0.7067
{41} => {362}, support=0.0029, confidence=0.6236
{48} => {157}, support=0.0017, confidence=0.9486
{25} => {916}, support=0.0014, confidence=0.7435
{899} => {26}, support=0.0031, confidence=0.9811
{41} => {478}, support=0.0029, confidence=0.6324
{893} => {28}, support=0.0015, confidence=0.7045
{41} => {501}, support=0.0029, confidence=0.6302
{30} => {847}, support=0.0014, confidence=0.7953
{589} => {39}, support=0.0027, confidence=0.7069
{563} => {40}, support=0.0031, confidence=0.6710
{819} => {32}, support=0.0028, confidence=0.8545
{48} => {323}, support=0.0017, confidence=0.9486
{30} => {884}, support=0.0014, confidence=0.7895
{819} => {33}, support=0.0027, confidence=0.8483
{157} => {56}, support=0.0036, confidence=0.6329
{557} => {44}, support=0.0020, confidence=0.8333
{705} => {40}, support=0.0111, confidence=0.6171
{265} => {56}, support=0.0027, confidence=0.8990
{807} => {39}, support=0.0020, confidence=0.6494
{445} => {58}, support=0.0025, confidence=0.9538
{48} => {776}, support=0.0017, confidence=0.9600
{180} => {69}, support=0.0023, confidence=0.9662
{932} => {46}, support=0.0012, confidence=0.6824
