=== Pass1 -> L1.dat ===
Total transactions: 948420
Pass1 time: 0.268 sec
=== Pass2 -> L2.dat ===
Found 1526 frequent pairs
Pass2 time: 1.716 sec
=== Pass3 -> L3.dat ===
Found 1977 frequent triples
Pass3 time: 2.579 sec

=== Association Rules (confidence >= 0.60) ===
{2} => {7}, support=0.1149, confidence=0.6260
{3} => {7}, support=0.0256, confidence=0.6477
{8} => {7}, support=0.0600, confidence=0.8146
{12} => {7}, support=0.3027, confidence=0.8778
{13} => {7}, support=0.0026, confidence=0.9309
{15} => {7}, support=0.0071, confidence=0.8526
{21} => {7}, support=0.0018, confidence=0.9232
{22} => {7}, support=0.0034, confidence=0.9097
{25} => {7}, support=0.0011, confidence=0.8160
{26} => {7}, support=0.0052, confidence=0.9300
{28} => {7}, support=0.0460, confidence=0.7785
{29} => {7}, support=0.0058, confidence=0.8867
{33} => {7}, support=0.0064, confidence=0.8751
{38} => {7}, support=0.0019, confidence=0.8473
{40} => {7}, support=0.0022, confidence=0.8653
{41} => {7}, support=0.0169, confidence=0.9001
{42} => {7}, support=0.0021, confidence=0.9100
{44} => {7}, support=0.0011, confidence=0.9129
{46} => {7}, support=0.0030, confidence=0.9295
{47} => {7}, support=0.0038, confidence=0.9084
{50} => {7}, support=0.0071, confidence=0.9371
{57} => {7}, support=0.0074, confidence=0.9344
{29} => {8}, support=0.0057, confidence=0.8723
{33} => {8}, support=0.0063, confidence=0.8519
{65} => {7}, support=0.0309, confidence=0.7774
{38} => {8}, support=0.0019, confidence=0.8363
{70} => {7}, support=0.0157, confidence=0.8736
{72} => {7}, support=0.0040, confidence=0.9407
{78} => {7}, support=0.0307, confidence=0.8350
{79} => {7}, support=0.0015, confidence=0.7743
{84} => {7}, support=0.0231, confidence=0.9087
{86} => {7}, support=0.0058, confidence=0.9532
{87} => {7}, support=0.0056, confidence=0.8991
{88} => {7}, support=0.0108, confidence=0.8748
{89} => {7}, support=0.0018, confidence=0.8616
{90} => {7}, support=0.0036, confidence=0.9361
{91} => {7}, support=0.0103, confidence=0.9333
{103} => {7}, support=0.0013, confidence=0.8984
{107} => {7}, support=0.0013, confidence=0.8803
{86} => {8}, support=0.0057, confidence=0.9457
{87} => {8}, support=0.0051, confidence=0.8197
{119} => {7}, support=0.0015, confidence=0.8970
{88} => {8}, support=0.0106, confidence=0.8562
{89} => {8}, support=0.0018, confidence=0.8293
{132} => {7}, support=0.0015, confidence=0.9001
{135} => {7}, support=0.0013, confidence=0.8039
{136} => {7}, support=0.0098, confidence=0.9386
{137} => {7}, support=0.0163, confidence=0.8630
{138} => {7}, support=0.0011, confidence=0.9376
{139} => {7}, support=0.0241, confidence=0.7835
{140} => {7}, support=0.0014, confidence=0.9233
{142} => {7}, support=0.0010, confidence=0.8698
{143} => {7}, support=0.0026, confidence=0.9006
{145} => {7}, support=0.0012, confidence=0.9030
{149} => {7}, support=0.0447, confidence=0.8950
{152} => {7}, support=0.0018, confidence=0.8907
{155} => {7}, support=0.0015, confidence=0.9138
{156} => {7}, support=0.0043, confidence=0.9172
{159} => {7}, support=0.0019, confidence=0.9260
{162} => {7}, support=0.0015, confidence=0.9260
{13} => {12}, support=0.0023, confidence=0.8098
{15} => {12}, support=0.0053, confidence=0.6329
{21} => {12}, support=0.0015, confidence=0.7664
{22} => {12}, support=0.0028, confidence=0.7428
{26} => {12}, support=0.0042, confidence=0.7448
{29} => {12}, support=0.0045, confidence=0.6910
{33} => {12}, support=0.0050, confidence=0.6763
{38} => {12}, support=0.0016, confidence=0.6745
{40} => {12}, support=0.0017, confidence=0.6799
{41} => {12}, support=0.0130, confidence=0.6889
{42} => {12}, support=0.0017, confidence=0.7403
{46} => {12}, support=0.0027, confidence=0.8342
{47} => {12}, support=0.0031, confidence=0.7510
{205} => {7}, support=0.0017, confidence=0.8667
{50} => {12}, support=0.0061, confidence=0.7989
{206} => {7}, support=0.0128, confidence=0.8769
{212} => {7}, support=0.0023, confidence=0.8641
{57} => {12}, support=0.0062, confidence=0.7844
{213} => {7}, support=0.0019, confidence=0.8594
{216} => {7}, support=0.0146, confidence=0.8385
{219} => {7}, support=0.0572, confidence=0.8350
{221} => {7}, support=0.0019, confidence=0.9080
{222} => {7}, support=0.0015, confidence=0.9252
{70} => {12}, support=0.0125, confidence=0.6962
{72} => {12}, support=0.0034, confidence=0.7958
{230} => {7}, support=0.0040, confidence=0.9265
{231} => {7}, support=0.0026, confidence=0.9162
{232} => {7}, support=0.0012, confidence=0.9144
{233} => {7}, support=0.0015, confidence=0.9094
{78} => {12}, support=0.0237, confidence=0.6448
{234} => {7}, support=0.0018, confidence=0.9075
{236} => {7}, support=0.0017, confidence=0.9141
{205} => {8}, support=0.0015, confidence=0.7837
{238} => {7}, support=0.0020, confidence=0.9056
{84} => {12}, support=0.0175, confidence=0.6888
{86} => {12}, support=0.0042, confidence=0.6906
{242} => {7}, support=0.0010, confidence=0.9026
{87} => {12}, support=0.0040, confidence=0.6483
{212} => {8}, support=0.0022, confidence=0.8378
{88} => {12}, support=0.0082, confidence=0.6671
{213} => {8}, support=0.0017, confidence=0.7884
{89} => {12}, support=0.0014, confidence=0.6401
{90} => {12}, support=0.0030, confidence=0.7847
{91} => {12}, support=0.0087, confidence=0.7852
{247} => {7}, support=0.0052, confidence=0.6166
{248} => {7}, support=0.0026, confidence=0.8225
{254} => {7}, support=0.0016, confidence=0.9337
{255} => {7}, support=0.0043, confidence=0.9326
{256} => {7}, support=0.0039, confidence=0.9509
{103} => {12}, support=0.0010, confidence=0.7216
{260} => {7}, support=0.0031, confidence=0.9226
{261} => {7}, support=0.0025, confidence=0.9281
{262} => {7}, support=0.0013, confidence=0.9278
{107} => {12}, support=0.0010, confidence=0.6991
{266} => {7}, support=0.0046, confidence=0.8676
{267} => {7}, support=0.0014, confidence=0.9100
{269} => {7}, support=0.0016, confidence=0.8995
{270} => {7}, support=0.0103, confidence=0.7487
{271} => {7}, support=0.0015, confidence=0.7873
{274} => {7}, support=0.0099, confidence=0.8337
{119} => {12}, support=0.0012, confidence=0.7112
{277} => {7}, support=0.0025, confidence=0.8427
{279} => {7}, support=0.0119, confidence=0.7411
{282} => {7}, support=0.0029, confidence=0.9226
{132} => {12}, support=0.0012, confidence=0.7419
{135} => {12}, support=0.0010, confidence=0.6021
{291} => {7}, support=0.0054, confidence=0.8948
{136} => {12}, support=0.0084, confidence=0.8036
{137} => {12}, support=0.0125, confidence=0.6649
{293} => {7}, support=0.0016, confidence=0.9023
{140} => {12}, support=0.0011, confidence=0.7637
{297} => {7}, support=0.0019, confidence=0.9125
{266} => {8}, support=0.0040, confidence=0.7639
{143} => {12}, support=0.0021, confidence=0.7204
{145} => {12}, support=0.0010, confidence=0.7370
{304} => {7}, support=0.0121, confidence=0.8349
{149} => {12}, support=0.0364, confidence=0.7283
{307} => {7}, support=0.0022, confidence=0.9222
{152} => {12}, support=0.0014, confidence=0.7097
{308} => {7}, support=0.0021, confidence=0.8916
{277} => {8}, support=0.0024, confidence=0.7958
{155} => {12}, support=0.0013, confidence=0.7611
{156} => {12}, support=0.0036, confidence=0.7593
{313} => {7}, support=0.0014, confidence=0.8785
{159} => {12}, support=0.0016, confidence=0.7540
{315} => {7}, support=0.0095, confidence=0.8536
{317} => {7}, support=0.0174, confidence=0.7575
{162} => {12}, support=0.0012, confidence=0.7206
{322} => {7}, support=0.0060, confidence=0.8690
{325} => {7}, support=0.0021, confidence=0.8939
{330} => {7}, support=0.0011, confidence=0.8789
{331} => {7}, support=0.0012, confidence=0.8968
{332} => {7}, support=0.0013, confidence=0.8806
{333} => {7}, support=0.0011, confidence=0.8705
