Dataset,MinSup,MinConf,TotalTrans,Pass1Time,Pass2Time,Pass3Time,RuleTime,TxCountTime,ItemTraversals,PairTraversals,TripleTraversals,GeneratedRules
expT10I4D100K.dat,0.500,0.500,100000,0.063,0.115,0.436,0.003,0.021,1009358,0,0,0
expT10I4D100K.dat,0.500,0.700,100000,0.047,0.113,0.457,0.010,0.006,1009358,0,0,0
expT10I4D100K.dat,0.500,0.900,100000,0.052,0.120,0.530,0.007,0.009,1009358,0,0,0
expT10I4D100K.dat,0.300,0.500,100000,0.054,0.132,0.553,0.002,0.007,1009358,0,0,0
expT10I4D100K.dat,0.300,0.700,100000,0.052,0.118,0.497,0.003,0.005,1009358,0,0,0
expT10I4D100K.dat,0.300,0.900,100000,0.051,0.115,0.447,0.004,0.007,1009358,0,0,0
expT10I4D100K.dat,0.100,0.500,100000,0.053,0.116,0.651,0.010,0.007,1009358,0,0,0
expT10I4D100K.dat,0.100,0.700,100000,0.051,0.115,0.517,0.005,0.009,1009358,0,0,0
expT10I4D100K.dat,0.100,0.900,100000,0.051,0.112,0.473,0.003,0.006,1009358,0,0,0
expT10I4D100K.dat,0.050,0.500,100000,0.049,0.113,0.437,0.003,0.008,1009358,24001,0,0
expT10I4D100K.dat,0.050,0.700,100000,0.048,0.113,0.481,0.006,0.006,1009358,24001,0,0
expT10I4D100K.dat,0.050,0.900,100000,0.057,0.118,0.491,0.002,0.007,1009358,24001,0,0
expT10I4D100K.dat,0.010,0.500,100000,0.050,0.483,0.460,0.007,0.008,1009358,13274388,1157,7
expT10I4D100K.dat,0.010,0.700,100000,0.054,0.587,0.487,0.008,0.009,1009358,13274388,1157,3
expT10I4D100K.dat,0.010,0.900,100000,0.052,0.513,0.448,0.005,0.009,1009358,13274388,1157,2
expT10I4D100K.dat,0.001,0.500,100000,0.051,2.151,0.961,0.084,0.006,1009358,40357882,6083029,22142
expT10I4D100K.dat,0.001,0.700,100000,0.052,2.430,0.966,0.082,0.024,1009358,40357882,6083029,18516
expT10I4D100K.dat,0.001,0.900,100000,0.052,2.014,0.969,0.062,0.020,1009358,40357882,6083029,8700
expkosarak.dat,0.500,0.500,948420,0.342,0.588,2.995,0.004,0.112,4632103,0,0,0
expkosarak.dat,0.500,0.700,948420,0.353,0.585,2.970,0.005,0.053,4632103,0,0,0
expkosarak.dat,0.500,0.900,948420,0.364,0.604,2.985,0.006,0.053,4632103,0,0,0
expkosarak.dat,0.300,0.500,948420,0.413,0.623,2.762,0.003,0.055,4632103,685019,0,2
expkosarak.dat,0.300,0.700,948420,0.395,0.663,3.061,0.002,0.055,4632103,685019,0,1
expkosarak.dat,0.300,0.900,948420,0.353,0.676,2.735,0.002,0.050,4632103,685019,0,0
expkosarak.dat,0.100,0.500,948420,0.413,0.645,2.861,0.002,0.054,4632103,938857,129487,6
expkosarak.dat,0.100,0.700,948420,0.344,0.588,2.950,0.002,0.053,4632103,938857,129487,2
expkosarak.dat,0.100,0.900,948420,0.354,0.702,2.847,0.003,0.056,4632103,938857,129487,0
expkosarak.dat,0.050,0.500,948420,0.347,0.613,2.711,0.011,0.049,4632103,1705370,273974,11
expkosarak.dat,0.050,0.700,948420,0.311,0.623,2.487,0.002,0.055,4632103,1705370,273974,5
expkosarak.dat,0.050,0.900,948420,0.383,0.601,2.811,0.003,0.059,4632103,1705370,273974,1
expkosarak.dat,0.010,0.500,948420,0.376,0.771,3.072,0.006,0.058,4632103,4416489,1400152,141
expkosarak.dat,0.010,0.700,948420,0.359,0.707,2.929,0.004,0.052,4632103,4416489,1400152,81
expkosarak.dat,0.010,0.900,948420,0.344,0.677,2.854,0.004,0.052,4632103,4416489,1400152,24
expkosarak.dat,0.001,0.500,948420,0.344,3.121,3.564,0.016,0.058,4632103,65211626,11492805,4031
expkosarak.dat,0.001,0.700,948420,0.343,3.096,3.427,0.017,0.063,4632103,65211626,11492805,3173
expkosarak.dat,0.001,0.900,948420,0.351,2.662,3.368,0.013,0.062,4632103,65211626,11492805,1213
